Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
"78-80 Queen's Road West, Hong Kong",香港皇后大道西78至80號,"78-80 Queen's Road West, Hong Kong",HK - Central & Western,Mixed Use,Wise Grace Investment Limited,Tsui G Kin Paul,NB V2.0,Registered,2024,Valid,,,
8 Bay East / NEO,,"No.123 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",KLN - Kwun Tong,Commercial,Wheelock Properties (Hong Kong) Limited,Conn YUEN,NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/220,
8 Deep Water Bay Drive,深水灣徑8號,"8 Deep Water Bay Drive, Hong Kong",HK - Southern,Residential,Cheerwide Investment Limited,Cheung Wai Hin,NB V1.1,Final Bronze,2019,Expired,FAB0003/19; PAS0015/17,,
8 Deep Water Bay Drive (2019),深水灣徑8號,8 Deep Water Bay Drive,HK - Southern,Residential,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2021,Valid,,,
8 Deep Water Bay Drive (2024),深水灣徑8號,8-12 Deep Water Bay Drive,HK - Southern,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,,
"8 Kent Road, Kowloon Tong",九龍塘 根德道8號,"No. 8 Kent Road, N.K.I.L. 886, Kowloon Tong, Kowloon, Hong Kong",KLN - Kowloon City,Residential,Eastrade Holding Ltd.,"HUI Ming Wai, Candy",NB V1.2,Final Unclassified,2017,Expired,,,
8 La Salle,傲名,"No. 8 La Salle Road, Homantin",KLN - Kowloon City,Residential,Right Century Investments Limited,CHOI Lok Tin,NB V1.1,Final Silver,2015,Expired,,,
8 Observatory Road,天文臺道8 號,"8 Observatory Road, Tsim Sha Tsui, Hong Kong",KLN - Yau Tsim Mong,Commercial,Fu Ying Development Limited,"Kong LI, CHAN Kwok Leung",NB V1.1,Final Silver,2017,Expired,,,
8 Waterloo Road,窩打老道8號,"8 Waterloo Road, Yau Ma Tei",KLN - Yau Tsim Mong,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
8 Ying Wa Terrace,,"7-12 Ying Wa Terrace (Phase II), Hong Kong",HK - Central & Western,Residential,Dobrowen Investment Limited,N/A,NB V1.2,Registered,2013,Valid,,,
"80 Deep Water Bay Road, Hong Kong",,"80 Deep Water Bay Road, Hong Kong",HK - Southern,Residential,Boulder Holdings Corporation c/o CP Property Services Limited,LIN YU,NB V2.0,Registered,2025,Valid,,,
80 Gloucester Road,告士打道八十號,"80 Gloucester Road, Wanchai, Hong Kong",HK - Wan Chai,Commercial,Sun Properties Company Limited,"HO Yiu Yu, LEUNG Ching Han, Elaine",NB V1.2,Final Unclassified,2022,Valid,,,
80 Maidstone Road,翰畋,"K.I.L. 9692 at No. 80 Maidstone Road, Kowloon, Hong Kong",KLN - Kowloon City,Mixed Use,Fame Top Investment Ltd.,"Mo Cheung Ying, Eagle",NB V1.2,Final Unclassified,2020,Valid,,,
80 Robinson Road,羅便臣道80號,"80 Robinson Road, Mid-levels",HK - Central & Western,Residential,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/192,
80 Robinson Road (2024),羅便臣道80號,"80 Robinson Road, Mid-levels",HK - Central & Western,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/192,
"8097EB - In-situ Redevelopment of Wa Ying College at 8 Sheung Wo Street, Kowloon",N/A,"8, Sheung Wo Street, Homantin, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,The Incorporated Management Committee of Wa Ying College,Wei Jiang,NB V2.0,Registered,2020,Valid,,,
81 Hill Road Hong Kong,香港山道 81 號,81 Hill Road Hong Kong,HK - Central & Western,Residential,Norminster Ltd,Lui Wing Man,NB V2.0,Provisional Gold,2025,Valid,,,
822 Lai Chi Kok Road,荔枝角道822號,"822 Lai Chi Kok Road, Cheung Sha Wan, Kowloon, Hong Kong",KLN - Sham Shui Po,Commercial,LAWS REAL ESTATE AGENCY LIMITED,Lee Man Kwong,EB V2.1 Sel. MAN,Excellent,2024,Valid,,,
83 WING HONG STREET,永康街83號,"83 Wing Hong Street, Cheung Sha Wan, Kowloon",KLN - Sham Shui Po,Commercial,Bonson Holdings Limited,Sze-To Hiu Yue,NB V1.2,Final Gold,2024,Valid,,,
84 Peak Road,山頂道84號,"84 Peak Road, The Peak",HK - Central & Western,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2024,Valid,,,
"888 Lai Chi Kok Road (Proposed Commercial Development at New Kowloon Inland Lot No. 6582, Cheung Sha Wan, Kowloon)",,"888 Lai Chi Kok Road, Kowloon, Hong Kong",KLN - Sham Shui Po,Commercial,Good Sense Development Limited,"AU Chun Bun, Henry",NB V1.2,Final Gold,2023,Valid,,,
9 Chong Yip Street,創業街9號,"9 Chong Yip Street, Kwun Tong, Kowloon",KLN - Kwun Tong,Commercial,ARA Asset Management (Prosperity) Limited,POON Ka Man,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
9 Eastern Street,東邊街9號,"9 Eastern Street, Hong Kong",HK - Central & Western,Mixed Use,Global Favour Limited,LIN YU,NB V1.2,Provisional Unclassified,2024,Valid,REG0023/24; PAU0096/24,,
909 Cheung Sha Wan Road,長沙灣道909號,"909 Cheung Sha Wan Road, Cheung Sha Wan Road",KLN - Sham Shui Po,Commercial,Sun Hung Kai Properties Limited,Au Tat Kay,EB V2.0 Sel. MAN,Excellent,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/268,
93 Pau Chung Street,喜築,"20-32 San Shan Road & 93 Pau Chung Street, Ma Tau Kok, Kowloon, Hong Kong",KLN - Kowloon City,Mixed Use,Winstead Limited,"Ms. MA Yee Ling,",NB V1.2,Final Gold,2020,Valid,PAG0024/16,,
9347WF- New Lockhart Road Playground,,No. 33 Lockhart Road,HK - Wan Chai,Others,"Water Supplies Department (WSD), HKSARG","Mr. MAK Kei Choi, Henry",ND V1.0,Registered,2019,Valid,,,
99 Cheung Fai Road,長輝路99號,"No. 99 Cheung Fai Road, Tsing Yi",NT - Kwai Tsing,Commercial,Hutchison Property Management Company Limited,Hip Shing Leung,EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
"A 12-classroom Special School at Oi Kwan Road, Wan Chai",灣仔愛群道1所設有12間課室的特殊學校,"30 Oi Kwan Road, Wan Chai, Hong Kong",HK - Wan Chai,Government Institutional and Community,Architectural Services Department,"Ms. WONG Man Sze, Wency",NB V2.0,Registered,2022,Valid,,,
"A 24-Classroom Primary School At Au Pui Wan Street, Fo Tan",火炭坳背灣街一所設有24間課室的小學,"Au Pui Wan Street, Fo Tan, Hong Kong",NT - Sha Tin,Government Institutional and Community,Architectural Services Department,"Ms. WONG Man Sze, Wency",NB V2.0,Provisional Gold,2022,Valid,,,
"A 24-Classroom Primary School at Luk Lau Avenue, Wong Tai Sin",,"1 & 3 Luk Lau Avenue, Choi Hung Estate, Wong Tai Sin",KLN - Wong Tai Sin,Government Institutional and Community,Architectural Services Department,Mr Lam Lo,NB V2.0,Registered,2022,Valid,,,
"A 30-Classroom Primary School at Area 17, Fanling North New Development Area",粉嶺北新發展區第 17 區 1 所設有 30 間課室的小學,"Area 17, Fanling North New Development Area",NT - North,Government Institutional and Community,Architectural Services Department,"Ms Chan Ka Yee, Zoe",NB V2.0,Registered,2024,Valid,,,
"A 30-classroom Primary School at Area 29, Kwu Tung North New Development Area",古洞北新發展區第29區1所設有30間課室的小學,"Area 29, Kwu Tung North New Development Area",NT - North,Government Institutional and Community,Architectural Services Department,Wei Jiang,NB V2.0,Registered,2024,Valid,,,
"A 30-classroom Primary School at Lin Cheung Road, Sham Shui Po",深水埗連翔道1所設有30間課室的小學,"Lin Cheung Road, Sham Shui Po",KLN - Sham Shui Po,Government Institutional and Community,Architectural Services Department,JIANG Wei,NB V2.0,Provisional Platinum,2024,Valid,,,
"A 30-Classroom Primary School at Shui Chuen O, Sha Tin",沙田水泉澳1所設有30間課室的小學,"19 Pok Chuen Street, Sha Tin, N.T.",NT - Sha Tin,Government Institutional and Community,Education Bureau,Lai Shing Leong,NB V1.2,Final Gold,2023,Valid,,,
"A 30-classroom primary school at Site 1B-4, Kai Tak Development",九龍啟德發展計劃(地盤1B-4)1所設有30間課室的小學,"Site 1B-4, Kai Tak Development",KLN - Kowloon City,Government Institutional and Community,Architectural Services Department,Eleanor Chan,NB V2.0,Registered,2021,Valid,,,
"A 30-classroom primary school at Site E-2, Development of Anderson Road Quarry Site, Sai Kung",西貢安達臣道石礦場用地發展(地盤E-2)1所設有30間課室的小學,TBC,NT - Sai Kung,Government Institutional and Community,Architectural Services Department,"CHAN Chi Keung, Peter",NB V2.0,Registered,2024,Valid,,,
